0005 枯れた竹 かれたたけ
2B2E バードバス ばーどばす
2B2F ピクニックテーブル ぴくにっくてーぶる
2B30 バードフィーダー ばーどふぃーだー
2B31 ビニールチェア びにーるちぇあ
2B32 しばかりき しばかりき
2B33 バーベキューグリル ばーべきゅーぐりる
2B34 プール ぷーる
2B35 スプリンクラー すぷりんくらー
2B36 たいまつ たいまつ
2B37 ゾウのすべりだい ぞうのすべりだい
2B38 うば車 うばぐるま
2B39 ゆりかご ゆりかご
2B3A ベビーベッド べびーべっど
2B3B ておし車 ておしぐるま
2B3C メリーゴーランド めりーごーらんど
2B3D もくば もくば
2B3E 鉄道模型 てつどうもけい
2B3F おきあがりこぼし おきあがりこぼし
2B40 お人形 おにんぎょう
2B41 実験台 じっけんだい
2B42 実験イス じっけんいす
2B43 薬だな くすりだな
2B44 大きなフラスコ おおきなふらすこ
2B45 すごそうなキカイ すごそうなきかい
2B46 よくわからないキカイ よくわからないきかい
2B47 ややこしそうなキカイ ややこしそうなきかい
2B48 かじ かじ
2B49 たる たる
2B4A 横向きのたる よこむきのたる
2B4B たいほう たいほう
2B4C いかり いかり
2B4D 羅針盤 らしんばん
2B4E がいこつ がいこつ
2B4F 魔女の薬 まじょのくすり
2B50 ぶきみなはかいし ぶきみなはかいし
2B51 のろいのはかいし のろいのはかいし
2B52 きょうふのかんおけ きょうふのかんおけ
2B53 ふきつな水晶 ふきつなすいしょう
2B54 狂った時計 くるったとけい
2B55 あやしげな鏡像 あやしげなきょうぞう
2B56 ポーンのこま ぽーんのこま
2B57 ビショップのこま びしょっぷのこま
2B58 キングのこま きんぐのこま
2B59 ナイトのこま ないとのこま
2B5A クイーンのこま くいーんのこま
2B5B ルークのこま るーくのこま
2B5C きょうだんの右 きょうだんのみぎ
2B5D きょうだんの左 きょうだんのひだり
2B5E こうえんだい こうえんだい
2B5F 先生のデスク せんせいのですく
2B60 先生のイス せんせいのいす
2B61 学校の机 がっこうのつくえ
2B62 学校のイス がっこうのいす
2B63 学校の下駄箱 がっこうのげたばこ
2B64 黒板 こくばん
2B65 掃除用具 そうじようぐ
2B66 骨格標本 こっかくひょうほん
2B67 人体模型 じんたいもけい
2B68 透明な模型 とうめいなもけい
2B69 ハムスターのかご はむすたーのかご
2B6A 理科室の机 りかしつのつくえ
2B6B とび箱 とびばこ
2B6C ボールいれ ぼーるいれ
2B6D 高とびのマット たかとびのまっと
2B6E ハードル はーどる
2B6F 得点ボード とくてんぼーど
2B70 パイプイス ぱいぷいす
2B71 視力測定器 しりょくそくていき
2B72 ざ高計 ざこうけい
2B73 身長計 しんちょうけい
2B74 体重計 たいじゅうけい
2B75 病院のベッド びょういんのべっど
2B76 病院のつい立 びょういんのついたて
2B77 てんてき てんてき
2B78 手洗い てあらい
2B79 勉強机 べんきょうづくえ
2B7A 勉強イス べんきょういす
2B7B 地球儀 ちきゅうぎ
2B7C 事務机え じむづくえ
2B7D 事務イス じむいす
2B7E ロッカー ろっかー
2B7F コーヒーメーカー こーひーめーかー
2B80 レジカウンター れじかうんたー
2B81 レジスター れじすたー
2B82 ジュークボックス じゅーくぼっくす
2B83 サイフォン さいふぉん
2B84 ひっしょうダルマ ひっしょうだるま
2B85 ダルマ だるま
2B86 ミニダルマ みにだるま
2B87 くまのダイちゃん くまのだいちゃん
2B88 くまのナミちゃん くまのなみちゃん
2B89 くまのチビちゃん くまのちびちゃん
2B8A しろくまのシロちゃん しろくまのしろちゃん
2B8B パンダのタアタア ぱんだのたあたあ
2B8C パンダのチュンチュン ぱんだのちゅんちゅん
2B8D パンダのシャオシャオ ぱんだのしゃおしゃお
2B8E たてながサボテン たてながさぼてん
2B8F へんぺいサボテン へんぺいさぼてん
2B90 まるサボテン まるさぼてん
2B91 ゴルフバッグ ごるふばっぐ
2B92 普通のソファ ふつうのそふぁ
2B93 普通のソファL ふつうのそふぁL
2B94 トーテムポール.アラ とーてむぽーる.あら
2B95 トーテムポール.オヤ とーてむぽーる.おや
2B96 トーテムポール.サテ とーてむぽーる.さて
2B97 トーテムポール.マア とーてむぽーる.まあ
2B98 ラバランプ らばらんぷ
2B99 ちゃぶだい ちゃぶだい
2B9A いろり いろり
2B9B びょうぶ びょうぶ
2B9C ひばち ひばち
2B9D ちゃだんす ちゃだんす
2B9E あんどん あんどん
2B9F 壁かけのあんどん かべかけのあんどん
2BA0 きりだんす きりだんす
2BA1 かいだんだんす かいだんだんす
2BA2 ひくいついたて ひくいついたて
2BA3 はりこのとら はりこのとら
2BA4 ぶじかえる ぶじかえる
2BA5 たち たち
2BA6 ゆみ ゆみ
2BA7 よろいかぶと よろいかぶと
2BA8 黒い日本刀 くろいにほんとう
2BA9 白い日本刀 しろいにほんとう
2BAA にんじゃとう にんじゃとう
2BAB ししおどし ししおどし
2BAC とうろう とうろう
2BAD お風呂のイス おふろのいす
2BAE お風呂マット おふろまっと
2BAF おけ おけ
2BB0 ゆぶね ゆぶね
2BB1 牛乳ケース ぎゅうにゅうけーす
2BB2 アイスケース あいすけーす
2BB3 洗い場 あらいば
2BB4 茶つぼ ちゃつぼ
2BB5 赤つぼ あかつぼ
2BB6 せいじのつぼ せいじのつぼ
2BB7 招き猫 まねきねこ
2BB8 左手招き猫 ひだりてまねきねこ
2BB9 黒い招き猫 くろいまねきねこ
2BBA 金の招き猫 きんのまねきねこ
2BBB グレープフルーツテーブル ぐれーぷふるーつてーぶる
2BBC レモンのテーブル れもんのてーぶる
2BBD シトラスなイス しとらすないす
2BBE キウイなスツール きういなすつーる
2BBF ヨウナシのクロゼット ようなしのくろぜっと
2BC0 ヨウナシのタンス ようなしのたんす
2BC1 スイカのイス すいかのいす
2BC2 スイカのテーブル すいかのてーぶる
2BC3 リンゴのテレビ りんごのてれび
2BC4 リンゴの時計 りんごのとけい
2BC5 ハスのテーブル はすのてーぶる
2BC6 カエルのチェア かえるのちぇあ
2BC7 パインざいのイス ぱいんざいのいす
2BC8 パインざいのテーブル ぱいんざいのてーぶる
2BC9 お花のイス おはなのいす
2BCA お花テーブル おはなてーぶる
2BCB アカマツのぼんさい あかまつのぼんさい
2BCC クロマツ盆栽 くろまつのぼんさい
2BCD ゴヨウマツ盆栽 ごようまつのぼんさい
2BCE ウメ盆栽 うめのぼんさい
2BCF ウメモドキ盆栽 うめもどきのぼんさい
2BD0 サツキ盆栽 さつきのぼんさい
2BD1 モミジ盆栽 もみじのぼんさい
2BD2 ピラカンサ盆栽 ぴらかんさのぼんさい
2BD3 ボケ盆栽 ぼけのぼんさい
2BD4 サンシュユ盆栽 さんしゅゆのぼんさい
2BD5 ポトス ぽとす
2BD6 ココヤシ ここやし
2BD7 パキラ ぱきら
2BD8 カラジューム からじゅーむ
2BD9 クロトン くろとん
2BDA こうふくのき こうふくのき
2BDB シュロチク しゅろちく
2BDC アロエ あろえ
2BDD ゴムのき ごむのき
2BDE サンセベリア さんせべりあ
2BDF ヤマドリヤシ やまどりやし
2BE0 ドラセナ どらせな
2BE1 アナナス あななす
2BE2 ベンジャミン べんじゃみん
2BE3 コンガ こんが
2BE4 ジャンベ じゃんべ
2BE5 ティンパニ てぃんぱに
2BE6 ビオラ びおら
2BE7 チェロ ちぇろ
2BE8 コントラバス こんとらばす
2BE9 アコギターAS1 あこぎたーAS1
2BEA アコギターAS2 あこぎたーAS2
2BEB エレキギターES1 えれきぎたーES1
2BEC エレキギターES2 えれきぎたーES2
2BED ウクレレ うくれれ
2BEE グランドピアノ ぐらんどぴあの
2BEF アップライトピアノ あっぷらいとぴあの
2BF0 わだいこ わだいこ
2BF1 ヴィブラフォン ヴぃぶらふぉん
2BF2 びわ びわ
2BF3 ハープ はーぷ
2BF4 メトロノーム めとろのーむ
2BF5 くずかご くずかご
2BF6 ペール ぺーる
2BF7 ブリキのペール ぶりきのぺーる
2BF8 ごみばこ ごみばこ
2BF9 パルテノンのはしら ぱるてのんのはしら
2BFA イオニアのはしら いおにあのはしら
2BFB コリントのはしら こりんとのはしら
2BFC おれたはしら おれたはしら
2BFD ピラミッド ぴらみっど
2BFE スフィンクス すふぃんくす
2BFF ミイラのひつぎ みいらのひつぎ
2C00 縄文式土器 じょうもんしきどき
2C01 たっきゅう台 たっきゅうだい
2C02 ボウリングのピン ぼうりんぐのぴん
2C03 ボウリングリターン ぼうりんぐりたーん
2C04 バスケットのゴール ばすけっとのごーる
2C05 ビリヤードのだい びりやーどのだい
2C06 マージャンテーブル まーじゃんてーぶる
2C07 ダーツボード だーつぼーど
2C08 ピンボールだい ぴんぼーるだい
2C09 アップライトゲーム機 あっぷらいとげーむき
2C0A テーブル鏡台 てーぶるきょうたい
2C0B 丸イス まるいす
2C0C 将棋盤 しょうぎばん
2C0D ご飯 ごばん
2C0E がいせんもん がいせんもん
2C0F かっちゅう かっちゅう
2C10 ピサのしゃとう ぴさのしゃとう
2C11 方位じしゃく ほういじしゃく
2C12 おみやげチョコレート おみやげちょこれーと
2C13 バックパック ばっくぱっく
2C14 マウンテンバイク まうんてんばいく
2C15 けいたいコンロ けいたいこんろ
2C16 カヤック かやっく
2C17 ランタン らんたん
2C18 シュラフ しゅらふ
2C19 たき火 たきび
2C1A キャンプファイア きゃんぷふぁいあ
2C1B ビデオつきテレビ びでおつきてれび
2C1C 32がたワイドテレビ 32がたわいどてれび
2C1D レトロなテレビ れとろなてれび
2C1E キッチンのシンク きっちんのしんく
2C1F キッチンのコーナー きっちんのこーなー
2C20 クッキングヒーター くっきんぐひーたー
2C21 コンロ台 こんろだい
2C22 ガスレンジ がすれんじ
2C23 流し台 ながしだい
2C24 ティーセット てぃーせっと
2C25 かき氷機 かきごおりき
2C26 冷蔵庫 れいぞうこ
2C27 レトロな冷蔵庫 れとろなれいぞうこ
2C28 電子レンジ でんしれんじ
2C29 トースター とーすたー
2C2A ミキサー みきさー
2C2B 物干しざお ものほしざお
2C2C 犬小屋 いぬごや
2C2D ビーチベッド びーちべっど
2C2E 消波ブロック しょうはぶろっく
2C2F サーフボード さーふぼーど
2C30 潜水服 せんすいふく
2C31 パラソルつきテーブル ぱらそるつきてーぶる
2C32 宝箱 たからばこ
2C33 浮き輪 うきわ
2C34 スノーボード すのーぼーど
2C35 そり そり
2C36 雪だるま ゆきだるま
2C37 ひまわり ひまわり
2C38 スイセン すいせん
2C39 ガーベラ がーべら
2C3A 様式トイレ ようしきといれ
2C3B ウォッシュトイレ うぉっしゅといれ
2C3C だんしようトイレ だんしようといれ
2C3D カラーボックス からーぼっくす
2C3E 金庫 きんこ
2C3F ドラム式せんたくき どらむしきせんたくき
2C40 全自動式せんたくき ぜんじどうせんたくき
2C41 二層式せんたくき にそうしきせんたくき
2C42 ダルマストーブ だるますとーぶ
2C43 ストーブ すとーぶ
2C44 だんろ だんろ
2C45 オイルヒーター おいるひーたー
2C46 蓄音機 ちくおんき
2C47 四角い蓄音機 しかくいちくおんき
2C48 テープレコーダー てーぷれこーだー
2C49 レトロなステレオ れとろなすてれお
2C4A いいコンポ いいこんぽ
2C4B 高級コンポ こうきゅうこんぽ
2C4C プロしようコンポ ぷろしようこんぽ
2C4D サイコロコンポ さいころこんぽ
2C4E ラジカセ らじかせ
2C4F CDラジカセ CDらじかせ
2C50 ダブルラジカセ だぶるらじかせ
2C51 丸い時計 まるいとけい
2C52 アメリカンクロック あめりかんくろっく
2C53 アンティークな時計 あんてぃーくなとけい
2C54 ガラスの時計 がらすのとけい
2C55 大名時計 だいみょうどけい
2C56 だえんの時計 だえんのとけい
2C57 みみずく時計 みみずくどけい
2C58 めざまし時計 めざましどけい
2C59 よくあるチェア よくあるちぇあ
2C5A ロッキングチェア ろっきんぐちぇあ
2C5B 左ききデスク ひだりききですく
2C5C 右ききデスク みぎききですく
2C5D 給油機 きゅうゆき
2C5E 消火器 しょうかき
2C5F 消火栓 しょうかせん
2C60 たぬきの置物 たぬきのおきもの
2C61 バーバーポール ばーばーぽーる
2C62 キャンディマシン きゃんでぃましん
2C63 かかし かかし
2C64 鳥かご とりかご
2C65 電話ボックス でんわぼっくす
2C66 ろてん風呂 ろてんぶろ
2C67 麦畑 むぎばたけ
2C68 パソコンとラック ぱそこんとらっく
2C69 パイナップルのベッド ぱいなっぷるのべっど
2C6A すかしぼりのテーブル すかしぼりのてーぶる
2C6B こたつ こたつ
2C6C 白いソファ しろいそふぁ
2C6D 収納ケース しゅうのうけーす
2C6E ファッションケース ふぁっしょんけーす
2C6F 猫足バスタブ ねこあしばすたぶ
2C70 シャワー しゃわー
2C71 マッサージいす まっさーじいす
2C72 掃除機 そうじき
2C73 ボトルシップ ぼとるしっぷ
2C74 水飲みドリ みずのみどり
2C75 アメリカンクラッカー あめりかんくらっかー
2C76 望遠鏡 ぼうえんきょう
2C77 もちつきセット もちつきせっと
2C78 古いミシン ふるいみしん
2C79 ダンボール だんぼーる
2C7A 木箱 きばこ
2C7B せんぷう機 せんぷうき
2C7C ろうそく ろうそく
2C7D 電気スタンド でんきすたんど
2C7E スタンドけいこうとう すたんどけいこうとう
2C7F テーブルランプ てーぶるらんぷ
2C80 玉座 ぎょくざ
2C81 よくあるベッド よくあるべっど
2C82 レンガブロック れんがぶろっく
2C83 コイン こいん
2C84 ゴールポール ごーるぽーる
2C85 ファイアフラワー ふぁいあふらわー
2C86 スーパーキノコ すーぱーきのこ
2C87 ミドリこうら みどりこうら
2C88 スーパースター すーぱーすたー
2C89 1UPキノコ 1UPきのこ
2C8A ハテナブロック はてなぶろっく
2C8B どかん どかん
2C8C ファイアバー ふぁいあばー
2C8D キラーほうだい きらーほうだい
2C8E ヨッシーのタマゴ よっしーのたまご
2C8F トリプルバナナ とりぷるばなな
2C90 トリプル赤こうら とりぷるあかこうら
2C91 カート かーと
2C92 ピクミン ぴくみん
2C93 ブルーファルコン ぶるーふぁるこん
2C94 マスターソード ますたーそーど
2C95 アーウィン あーうぃん
2C96 トライフォース とらいふぉーす
2C97 メトロイド めとろいど
2C98 ドルフィン号 どるふぃんごう
2C99 ビックリ箱 びっくりばこ
2C9A 角松 かどまつ
2C9B 鏡もち かがみもち
2C9C ひな人形 ひなにんぎょう
2C9D 大きなクリスマスツリー おおきなくりすますつりー
2C9E かわいいクリスマスツリー かわいいくりすますつりー
2C9F おまつりのはた おまつりのはた
2CA0 おまつりのろうそく おまつりのろうそく
2CA1 うらないテレフォン うらないてれふぉん
2CA2 ティッシュペーパー てぃっしゅぺーぱー
2CA3 ぶたのちょきんばこ ぶたのちょきんばこ
2CA4 ATM ATM
2CA5 ジュラルミンケース じゅらるみんけーす
2CA6 ひしもち ひしもち
2CA7 月見団子 つきみだんご
2CA8 たなばたのささ たなばたのささ
2CA9 リセットさんのもけい りせっとさんのもけい
2CAA かっこいい地球儀 かっこいいちきゅうぎ
2CAB ピクニックバスケット ぴくにっくばすけっと
2CAC はんせんもけい はんせんもけい
2CAD ムギのたば むぎのたば
2CAE エスプレッソマシーン えすぷれっそましーん
2CAF おかしいりブーツ おかしいりぶーつ
2CB0 スノードーム すのーどーむ
2CB1 やさいのバスケット やさいのばすけっと
2CB2 ユンノリセット ゆんのりせっと
2CB3 ムクゲ むくげ
2CB4 ブロム ぶろむ
2CB5 クリスマスリース くりすますりーす
2CB6 茶色いかめ ちゃいろいかめ
2CB7 白いかめ しろいかめ
2CB8 タペストリー たぺすとりー
2CB9 こま こま
2CBA とこのま とこのま
2CBB こいのぼり こいのぼり
2CBC なすびのうし なすびのうし
2CBD あさがお あさがお
2CBE おちば おちば
2CBF すなのしろ すなのしろ
2CC0 ショッピングカート しょっぴんぐかーと
2CC1 はごいた はごいた
2CC2 ぼんぼり ぼんぼり
2CC3 きゅうりのうま きゅうりのうま
2CC4 なかおれぼうのイス なかおれぼうのいす
2CC5 ごうかくきがんもち ごうかくきがんもち
2CC6 キムパブ きむぱぶ
2CC7 かき氷のランプ かきごおりのらんぷ
2CC8 花たば はなたば
2CC9 キューピッドのイス きゅーぴっどのいす
2CCA てんじだい てんじだい
2CCB ガラスのてんじだい がらすのてんじだい
2CCC ひらたいてんじケース ひらたいてんじけーす
2CCD たてながてんじケース たてながてんじけーす
2CCE ミュージアムのイス みゅーじあむのいす
2CCF じゅんろ じゅんろ
2CD0 ごうかながくぶち ごうかながくぶち
2CD1 おんしつどきろくけい おんしつどきろくけい
2CD2 うけつけテーブル うけつけてーぶる
2CD3 ポスターたて ぽすたーたて
2CD4 てんじパーテーション てんじぱーてーしょん
2CD5 くらげランプ くらげらんぷ
2CD6 エアコン えあこん
2CD7 ふりこ時計 ふりこどけい
2CD8 壁のでんこうけいじばん かべのでんこうけいじばん
2CD9 金のサカナトロフィー きんのさかなとろふぃー
2CDA 銀のサカナトロフィー ぎんのさかなとろふぃー
2CDB どうのサカナトロフィー どうのさかなとろふぃー
2CDC 金のムシトロフィー きんのむしとろふぃー
2CDD 銀のムシトロフィー ぎんのむしとろふぃー
2CDE どうのムシトロフィー どうのむしとろふぃー
2CDF 博物館のもけい はくぶつかんのもけい
2CE0 おてがみセット おてがみせっと
2CE1 としこしそば としこしそば
2CE2 かねの置物 かねのおきもの
2CE3 パイプのまるイス ぱいぷのまるいす
2CE4 ほうじょうのつの ほうじょうのつの
2CE5 パンプキンパイ ぱんぷきんぱい
2CE6 ターキー たーきー
2CE7 アフタヌーンティーセット あふたぬーんてぃーせっと
2CE8 りょうめんの本だな りょうめんのほんだな
2CE9 きゃたつ きゃたつ
2CEA けんびきょう けんびきょう
2CEB こちょうらん こちょうらん
2CEC さんりん車 さんりんしゃ
2CED シャワーブース しゃわーぶーす
2CEE スタンドマイク すたんどまいく
2CEF たたみのベッド たたみのべっど
2CF0 チェンバロ ちぇんばろ
2CF1 ディレクターチェア でぃれくたーちぇあ
2CF2 テルミン てるみん
2CF3 にだんベッド にだんべっど
2CF4 日本人形 にほんにんぎょう
2CF5 バレーのネット ばれーのねっと
2CF6 ピアノのまるいす ぴあののまるいす
2CF7 ブッシュ.ド.ノエル ぶっしゅ.ど.のえる
2CF8 フランス人形 ふらんすにんぎょう
2CF9 フルーツバスケット ふるーつばすけっと
2CFA ポインセチア ぽいんせちあ
2CFB ホットプレート ほっとぷれーと
2CFC ゆきうさぎ ゆきうさぎ
2CFD レトロなでんわ れとろなでんわ
2CFE LPプレーヤー LPぷれーやー
2CFF いと車 いとぐるま
2D00 しかけ絵本 しかけえほん
2D01 あまもりバケツ あまもりばけつ
2D02 アルコールランプ あるこーるらんぷ
2D03 でんきケトル でんきけとる
2D04 ウェディングケーキ うぇでぃんぐけーき
2D05 おかしケース おかしけーす
2D06 クリスマスキャンドル くりすますきゃんどる
2D07 しちりん しちりん
2D08 すずランプ すずらんぷ
2D09 スポットライトL すぽっとらいとL
2D0A スポットライトS すぽっとらいとS
2D0B ステンドグラスランプ すてんどぐらすらんぷ
2D0C はんごう はんごう
2D0D ミニかまくら みにかまくら
2D0E ルーレット るーれっと
2D0F レトロなカメラ れとろなかめら
2D10 でんこうけいじばん でんこうけいじばん
2D11 アカデミーのペナント あかでみーのぺなんと
2D12 アカデミーの銀のたて あかでみーのぎんのたて
2D13 アカデミーの金のたて あかでみーのきんのたて
2D14 銀のおうちトロフィー ぎんのおうちとろふぃー
2D15 金のおうちトロフィー きんのおうちとろふぃー
2D16 金のおうちのもけい きんのおうちのもけい
2D17 キャットタワー きゃっとたわー
2D18 しょっきあらいき しょっきあらいき
2D19 もくせいスツール もくせいすつーる
2D1A CDラック CDらっく
2D1B エレキギターES3 えれきぎたーES3
2D1C マガジンラックL まがじんらっくL
2D1D トランク とらんく
2D1E ミルクかん みるくかん
2D1F コートハンガー こーとはんがー
2D20 ロータスランプ ろーたすらんぷ
2D21 ミシン みしん
2D22 ドールハウス どーるはうす
2D23 フローズンマシーン ふろーずんましーん
2D24 オフィスパソコンラック おふぃすぱそこんらっく
2D25 おまる おまる
2D26 やかん やかん
2D27 おべんきょうセット おべんきょうせっと
2D28 サラダバー さらだばー
2D29 パーテーションポール ぱーてーしょんぽーる
2D2A ななめドラムせんたくき ななめどらむせんたくき
2D2B アロマポット あろまぽっと
2D2C クイズのだい くいずのだい
2D2D ジュースケース じゅーすけーす
2D2E ドーナツまるイス どーなつまるいす
2D2F 中華まんのケース ちゅうかまんのけーす
2D30 かまど かまど
2D31 うすがたテレビ うすがたてれび
2D32 ビンゴマシン びんごましん
2D33 しゃちょうのイス しゃちょうのいす
2D34 おえかきセット おえかきせっと
2D35 しゃちょうの机 しゃちょうのつくえ
2D36 ちょうみりょういれ ちょうみりょういれ
2D37 せんめんだい せんめんだい
2D38 おこう おこう
2D39 マガジンラックS まがじんらっくS
2D3A すいはんき すいはんき
2D3B プラネタリウム ぷらねたりうむ
2D3C かいてんずし かいてんずし
2D3D てんきゅうぎ てんきゅうぎ
2D3E ホワイトボード ほわいとぼーど
2D3F ピーコックチェア ぴーこっくちぇあ
2D40 ジャグジー じゃぐじー
2D41 アイランドキッチン あいらんどきっちん
2D42 クッション くっしょん
2D43 さんしん さんしん
2D44 エフェクターラック えふぇくたーらっく
2D45 かしつき かしつき
2D46 タイムレコーダー たいむれこーだー
2D47 クレーンゲーム くれーんげーむ
2D48 ふめんだい ふめんだい
2D49 アイロン あいろん
2D4A スーツケース すーつけーす
2D4B プランター ぷらんたー
2D4C しかユニット しかゆにっと
2D4D アンプ あんぷ
2D4E はたおりき はたおりき
2D4F 中華テーブル ちゅうかてーぶる
2D50 ピクルスびん ぴくるすびん
2D51 テレビカメラ てれびかめら
2D52 おでんのなべ おでんのなべ
2D53 れいとうこ れいとうこ
2D54 どなべ どなべ
2D55 なべ なべ
2D56 ノートパソコン のーとぱそこん
2D57 サーバー さーばー
2D58 コピーき こぴーき
2D59 ドラムセット どらむせっと
2D5A ドリンクバー どりんくばー
2D5B ウォーターサーバー うぉーたーさーばー
2D5C スティックそうじき すてぃっくそうじき
2D5D メイクボックス めいくぼっくす
2D5E ダブルネックギター だぶるねっくぎたー
2D5F バーチャルボーイ ばーちゃるぼーい
2D60 ポップコーンマシン ぽっぷこーんましん
2D61 DJブース DJぶーす
2D62 花輪 はなわ
2D63 ソフトクリームランプ そふとくりーむらんぷ
2D64 ホームパソコンラック ほーむぱそこんらっく
2D65 パイプオルガン ぱいぷおるがん
2D66 カラオケセット からおけせっと
2D67 ケトル けとる
2D68 デジタルフォトフレーム でじたるふぉとふれーむ
2D69 キッチンつるし きっちんつるし
2D6A 壁かけフラワー かべかけふらわー
2D6B ウォールシェルフ うぉーるしぇるふ
2D6C ステンドグラス すてんどぐらす
2D6D 学校のスピーカー がっこうのすぴーかー
2D6E 横書きの賞状 よこがきのしょうじょう
2D6F 定食屋のテレビ ていしょくやのてれび
2D70 はと時計 はとどけい
2D71 壁かけせんぷうき かべかけせんぷうき
2D72 モビール もびーる
2D73 ブレーカー ぶれーかー
2D74 立書きの賞状 たてがきのしょうじょう
2D75 かんきせん かんきせん
2D76 壁かけのうきわ かべかけのうきわ
2D77 ちょうちん ちょうちん
2D78 かんしカメラ かんしかめら
2D79 非常口 ひじょうぐち
2D7A 壁かけスピーカー かべかけすぴーかー
2D7B スコンス すこんす
2D7C 個室トイレ こしつといれ
2D7D かせつトイレ かせつといれ
2D7E おきなののうめん おきなののうめん
2D7F はんにゃののうめん はんにゃののうめん
2D80 女ののうめん おんなののうめん
2D81 クモのす時計 くものすどけい
2D82 いも虫ソファ いもむしそふぁ
2D83 カブトチェア かぶとちぇあ
2D84 クワガタチェア くわがたちぇあ
2D85 ハニカムチェスト はにかむちぇすと
2D86 ホタルランプ ほたるらんぷ
2D87 バタフライなテーブル ばたふらいなてーぶる
2D88 テントウムシのイス てんとうむしのいす
2D89 カタツムリの時計 かたつむりのとけい
2D8A セミコンポ せみこんぽ
2D8B イソギンチャクなベッド いそぎんちゃくなべっど
2D8C イカすチェア いかすちぇあ
2D8D なんじカニ時計 なんじかにどけい
2D8E ちょうちんアンコウランプ ちょうちんあんこうらんぷ
2D8F タコちゃんチェア たこちゃんちぇあ
2D90 タイそうなソファ たいそうなそふぁ
2D91 ハリセンボンテレビ はりせんぼんてれび
2D92 カレイなるテーブル かれいなるてーぶる
2D93 ヒラメいたテーブル ひらめいたてーぶる
2D94 タヌキの壁かけ時計 たぬきのかべかけどけい
2D95 ミニたてながサボテン みにたてながさぼてん
2D96 ミニへんぺいサボテン みにへんぺいさぼてん
2D97 ミニまるサボテン みにまるさぼてん
2D98 エクササイズバイク えくささいずばいく
2D99 バタフライマシン ばたふらいましん
2D9A ラットプルダウン らっとぷるだうん
2D9B ランニングマシーン らんにんぐましーん
2D9C パンケース ぱんけーす
2D9D カウチ かうち
2D9E チョコレートフォンデュ ちょこれーとふぉんでゅ
2D9F ボックスソファ ぼっくすそふぁ
2DA0 ボックスソファのコーナー ぼっくすそふぁのこーなー
2DA1 ランチプレート らんちぷれーと
2DA2 砂時計 すなどけい
2DA3 箱入りフィギュア はこいりふぃぎゅあ
2DA4 ミニカー みにかー
2DA5 ミニサーキット みにさーきっと
2DA6 カプセルトイ かぷせるとい
2DA7 ジャンボけん玉 じゃんぼけんだま
2DA8 テーブルサッカー てーぶるさっかー
2DA9 スライドパズル すらいどぱずる
2DAA イースターのバスケット いーすたーのばすけっと
2DAB パーテーション ぱーてーしょん
2DAC タイプライター たいぷらいたー
2DAD パイプなボード ぱいぷなぼーど
2DAE パイプなコンポ ぱいぷなこんぽ
2DAF パイプなベッド ぱいぷなべっど
2DB0 パイプなソファ ぱいぷなそふぁ
2DB1 パイプなチェア ぱいぷなちぇあ
2DB2 パイプなチェスト ぱいぷなちぇすと
2DB3 パイプなクロゼット ぱいぷなくろぜっと
2DB4 パイプな時計 ぱいぷなとけい
2DB5 パイプなランプ ぱいぷならんぷ
2DB6 パイプなローテーブル ぱいぷなろーてーぶる
2DB7 パイプなミニテーブル ぱいぷなみにてーぶる
2DB8 ミックスウッドのベッド みっくすうっどのべっど
2DB9 ミックスウッドのベンチ みっくすうっどのべんち
2DBA ミックスウッドのチェア みっくすうっどのちぇあ
2DBB ミックスウッドのタンス みっくすうっどのたんす
2DBC ミックスウッドクロゼット みっくすうっどくろぜっと
2DBD ミックスウッドの時計 みっくすうっどのとけい
2DBE ミックスウッドのランプ みっくすうっどのらんぷ
2DBF ミックスウッドのスツール みっくすうっどのすつーる
2DC0 ミックスウッドのテーブル みっくすうっどのてーぶる
2DC1 ミックスウッドのシェルフ みっくすうっどのしぇるふ
2DC2 ミックスウッドのテレビ みっくすうっどのてれび
2DC3 マーメイドなベッド まーめいどなべっど
2DC4 マーメイドなソファ まーめいどなそふぁ
2DC5 マーメイドなチェア まーめいどなちぇあ
2DC6 マーメイドなチェスト まーめいどなちぇすと
2DC7 マーメイドなクロゼット まーめいどなくろぜっと
2DC8 マーメイドな時計 まーめいどなとけい
2DC9 マーメイドなドレッサー まーめいどなどれっさー
2DCA マーメイドなランプ まーめいどならんぷ
2DCB マーメイドなスクリーン まーめいどなすくりーん
2DCC マーメイドなシェルフ まーめいどなしぇるふ
2DCD マーメイドなテーブル まーめいどなてーぶる
2DCE アイスなチェスト あいすなちぇすと
2DCF アイスなクロゼット あいすなくろぜっと
2DD0 アイスなテーブル あいすなてーぶる
2DD1 アイスなチェア あいすなちぇあ
2DD2 アイスなサイドテーブル あいすなさいどてーぶる
2DD3 アイスなランプ あいすならんぷ
2DD4 アイスなシェルフ あいすなしぇるふ
2DD5 アイスなソファ あいすなそふぁ
2DD6 アイスなベッド あいすなべっど
2DD7 アイスな時計 あいすなとけい
2DD8 アイスなドレッサー あいすなどれっさー
2DD9 ロココなしょくだい ろここなしょくだい
2DDA ロココなベッド ろここなべっど
2DDB ロココなシェルフ ろここなしぇるふ
2DDC ロココなソファ ろここなそふぁ
2DDD ロココなチェア ろここなちぇあ
2DDE ロココなチェスト ろここなちぇすと
